"","X1","CTYNAME","YEAR","CTYCODE","MIDTERM","TOTVOTERS","SOCIALCAP.Religious2014","SOCIALCAP.Civic2014","SOCIALCAP.Business2014","SOCIALCAP.Political2014","SOCIALCAP.Professional2014","SOCIALCAP.Labor2014","SOCIALCAP.Bowling2014","SOCIALCAP.Recreational2014","SOCIALCAP.Golf2014","SOCIALCAP.Sports2014","SOCIALCAP.pop2014","SOCIALCAP.assn2014","SOCIALCAP.pvote2012","SOCIALCAP.respn2010","SOCIALCAP.nccs2014","SOCIALCAP.sk2014","SOCIALCAP.relig09","SOCIALCAP.civic09","SOCIALCAP.bus09","SOCIALCAP.pol09","SOCIALCAP.prof09","SOCIALCAP.labor09","SOCIALCAP.bowl09","SOCIALCAP.fitns09","SOCIALCAP.golf09","SOCIALCAP.sport09","SOCIALCAP.pop09","SOCIALCAP.respn10","SOCIALCAP.pvote08","SOCIALCAP.nccs09","SOCIALCAP.assn09","SOCIALCAP.sk09","HOUSE.Congress (Years)","HOUSE.# of House Seats","HOUSE.Democrats","HOUSE.Republicans","HOUSE.Other","HOUSE.Del./Res.","SENATE.Session","SENATE.Total Seats","SENATE.Democrat","SENATE.Republican","SENATE.Other Parties","STATELEGIS.Session","STATELEGIS.House","STATELEGIS.Senate","STATELEGIS.Governor","VOTE_ELI.HD01_VD09","VOTE_ELI.HD01_VD11","VOTE_ELI.HD01_VD20","VOTE_ELI.HD01_VD22","VOTE_ELIGIBLE","Citizen: Total","Citizen: US Born","Citizen: Puerto Rico/US Islands Born","Citizen: Born Abroad","Citizen: Naturalization","Not Citizen","Percent Married","Percent Divorced","POPULATION","WHITE","BLACK","INDIAN","ASIAN","HAWAIIAN","OTHERS","INCOME.GEO.id","INCOME.GEO.id2","INCOME.GEO.display-label","INCOME.HC01_EST_VC01","INCOME.HC01_MOE_VC01","INCOME.HC02_EST_VC01","INCOME.HC02_MOE_VC01","INCOME.HC03_EST_VC01","INCOME.HC03_MOE_VC01","INCOME.HC04_EST_VC01","INCOME.HC04_MOE_VC01","INCOME.HC01_EST_VC02","INCOME.HC01_MOE_VC02","INCOME.HC02_EST_VC02","INCOME.HC02_MOE_VC02","INCOME.HC03_EST_VC02","INCOME.HC03_MOE_VC02","INCOME.HC04_EST_VC02","INCOME.HC04_MOE_VC02","INCOME.HC01_EST_VC03","INCOME.HC01_MOE_VC03","INCOME.HC02_EST_VC03","INCOME.HC02_MOE_VC03","INCOME.HC03_EST_VC03","INCOME.HC03_MOE_VC03","INCOME.HC04_EST_VC03","INCOME.HC04_MOE_VC03","INCOME.HC01_EST_VC04","INCOME.HC01_MOE_VC04","INCOME.HC02_EST_VC04","INCOME.HC02_MOE_VC04","INCOME.HC03_EST_VC04","INCOME.HC03_MOE_VC04","INCOME.HC04_EST_VC04","INCOME.HC04_MOE_VC04","INCOME.HC01_EST_VC05","INCOME.HC01_MOE_VC05","INCOME.HC02_EST_VC05","INCOME.HC02_MOE_VC05","INCOME.HC03_EST_VC05","INCOME.HC03_MOE_VC05","INCOME.HC04_EST_VC05","INCOME.HC04_MOE_VC05","INCOME.HC01_EST_VC06","INCOME.HC01_MOE_VC06","INCOME.HC02_EST_VC06","INCOME.HC02_MOE_VC06","INCOME.HC03_EST_VC06","INCOME.HC03_MOE_VC06","INCOME.HC04_EST_VC06","INCOME.HC04_MOE_VC06","INCOME.HC01_EST_VC07","INCOME.HC01_MOE_VC07","INCOME.HC02_EST_VC07","INCOME.HC02_MOE_VC07","INCOME.HC03_EST_VC07","INCOME.HC03_MOE_VC07","INCOME.HC04_EST_VC07","INCOME.HC04_MOE_VC07","INCOME.HC01_EST_VC08","INCOME.HC01_MOE_VC08","INCOME.HC02_EST_VC08","INCOME.HC02_MOE_VC08","INCOME.HC03_EST_VC08","INCOME.HC03_MOE_VC08","INCOME.HC04_EST_VC08","INCOME.HC04_MOE_VC08","INCOME.HC01_EST_VC09","INCOME.HC01_MOE_VC09","INCOME.HC02_EST_VC09","INCOME.HC02_MOE_VC09","INCOME.HC03_EST_VC09","INCOME.HC03_MOE_VC09","INCOME.HC04_EST_VC09","INCOME.HC04_MOE_VC09","INCOME.HC01_EST_VC10","INCOME.HC01_MOE_VC10","INCOME.HC02_EST_VC10","INCOME.HC02_MOE_VC10","INCOME.HC03_EST_VC10","INCOME.HC03_MOE_VC10","INCOME.HC04_EST_VC10","INCOME.HC04_MOE_VC10","INCOME.HC01_EST_VC11","INCOME.HC01_MOE_VC11","INCOME.HC02_EST_VC11","INCOME.HC02_MOE_VC11","INCOME.HC03_EST_VC11","INCOME.HC03_MOE_VC11","INCOME.HC04_EST_VC11","INCOME.HC04_MOE_VC11","INCOME.HC01_EST_VC13","INCOME.HC01_MOE_VC13","INCOME.HC02_EST_VC13","INCOME.HC02_MOE_VC13","INCOME.HC03_EST_VC13","INCOME.HC03_MOE_VC13","INCOME.HC04_EST_VC13","INCOME.HC04_MOE_VC13","INCOME.HC01_EST_VC15","INCOME.HC01_MOE_VC15","INCOME.HC02_EST_VC15","INCOME.HC02_MOE_VC15","INCOME.HC03_EST_VC15","INCOME.HC03_MOE_VC15","INCOME.HC04_EST_VC15","INCOME.HC04_MOE_VC15","INCOME.HC01_EST_VC18","INCOME.HC01_MOE_VC18","INCOME.HC02_EST_VC18","INCOME.HC02_MOE_VC18","INCOME.HC03_EST_VC18","INCOME.HC03_MOE_VC18","INCOME.HC04_EST_VC18","INCOME.HC04_MOE_VC18","INCOME.HC01_EST_VC19","INCOME.HC01_MOE_VC19","INCOME.HC02_EST_VC19","INCOME.HC02_MOE_VC19","INCOME.HC03_EST_VC19","INCOME.HC03_MOE_VC19","INCOME.HC04_EST_VC19","INCOME.HC04_MOE_VC19","INCOME.HC01_EST_VC20","INCOME.HC01_MOE_VC20","INCOME.HC02_EST_VC20","INCOME.HC02_MOE_VC20","INCOME.HC03_EST_VC20","INCOME.HC03_MOE_VC20","INCOME.HC04_EST_VC20","INCOME.HC04_MOE_VC20","VOTEPERCENT","PresYear","HOUSE.Control","SENATE.Control","MONEY.House","MONEY.Governor","MONEY.StateOther","MONEY.StateSenate","MONEY.StateHouse","MONEY.Senate","MONEY.President"
"148",148,"lac qui parle",2014,37,1,2998,13,3,1,0,0,0,0,0,2,0,6895,2.75562001450326,0.820597322348095,0.81,86,2.98755001460548,11,3,1,0,0,0,0,1,2,0,7302,0.81,0.7286633,78,2.46507806080526,2.18416588603429,"113th (2013–2015)",435,201,234,"0","5/1","113 (2013-2015)",100,53,45,2,"88th, 2013-2014","DFL","DFL","DFL",2746,6,2762,52,5566,7096,6942,0,13,87,54,"61.5","8.8",7096,6885,34,26,62,0,9,"0500000US27073",27073,"Lac qui Parle County, Minnesota",3094,67,2088,77,"1762","64",1006,64,4.4,0.9,1.5,0.7,"0.6","0.4",11,2.5,6.8,1.2,2.1,0.7,"1.5","0.6",16.9,3.5,11.5,1.4,8.8,1.8,"7.3","1.8",17.7,2.8,11.3,1.4,9.3,1.8,"7.7","1.6",15.4,2.8,17.2,1.9,16.3,2.3,"14.1","1.8",19.6,3.1,20.7,1.8,24.8,2.4,"26.8","2.5",10.9,3,13.1,1.3,16.4,1.7,"18.4","2.2",4.8,1.7,8.9,1.2,12.4,1.7,"14.2","2.1",1.7,0.7,2.3,0.6,3.3,0.9,"3.7","1.0",0.2,0.2,4,1,5.1,1.2,"5.8","1.3",1.8,1.8,48426,3119,61500,2498,67115,1847,27340,3844,65232,4201,77617,5029,"N","N",37697,5277,34.8,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",35.7,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",30.8,"(X)",0.538627380524614,0,1,0,21320592.23,9123070.81,2921029.04,NA,9080457.25,32170393.66,NA
"149",149,"lake",2002,38,1,6148,14,3,1,0,0,0,1,0,2,0,10681,1.96610804231813,0.823472591161555,0.71,98,1.75592757480951,14,5,1,0,0,0,0,0,1,0,10872,0.71,0.8065972,108,1.93156732891832,2.07301810016711,"107th (2001–2003)",435,213,220,"Independent (2)","4/1","107 (2001-2003)",100,50,49,1,"82nd, 2001-2002","Republican","DFL","Reform",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,5766932.02,1729606.54,5275020.51,6540258.02,NA,NA
"150",150,"lake",2006,38,1,6040,14,3,1,0,0,0,1,0,2,0,10681,1.96610804231813,0.823472591161555,0.71,98,1.75592757480951,14,5,1,0,0,0,0,0,1,0,10872,0.71,0.8065972,108,1.93156732891832,2.07301810016711,"109th (2005–2007)",435,201,233,"Independent (1)","4/1","109 (2005-2007)",100,44,55,1,"84th, 2005-2006","Republican","DFL","Republican",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,9756305.64,2528259.93,6896026.68,7500839.82,NA,NA
"151",151,"lake",2010,38,1,5614,14,3,1,0,0,0,1,0,2,0,10681,1.96610804231813,0.823472591161555,0.71,98,1.75592757480951,14,5,1,0,0,0,0,0,1,0,10872,0.71,0.8065972,108,1.93156732891832,2.07301810016711,"111th (2009–2011)",435,257,178,"0","5/1","111 (2009-2011)",100,57,41,2,"86th, 2009-2010","DFL","DFL","Republican",4419,18,4254,114,8805,10900,10609,0,91,138,62,"60.2","10.7",10900,10478,11,30,0,0,46,"0500000US27075",27075,"Lake County, Minnesota",5181,239,3327,196,"2713","190",1854,184,5.2,1.8,3.9,1.5,"1.1","0.8",10.7,4.5,7.4,2.1,4,2.1,"0.2","0.3",14.4,4.3,13.8,2.4,8.5,2.2,"4.9","1.7",24,5.3,12,2.5,10.9,3.3,"9.5","3.0",15.5,4.5,13.7,2.2,12.4,2.8,"14.3","3.3",13.9,4.3,21.6,2.9,23.5,3.8,"26.1","4.3",15.7,4.6,14.1,2.3,20,3.3,"23.5","3.9",2.5,1.5,8.6,1.9,11,2.6,"13.3","3.0",3.3,2.5,2.9,1.3,4.4,2,"5.5","2.5",0,1.1,0.9,0.6,1.4,1,"1.7","1.2",0,1.1,46765,4826,57462,5203,67311,4768,25417,2624,56048,3230,67159,4531,"N","N",32849,2933,23.5,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",22.7,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",24.4,"(X)",0.637592277115275,0,0,0,33656871.12,17574734.7,1710510.67,5876612.5,6355422.82,NA,NA
"152",152,"lake",2014,38,1,5165,14,3,1,0,0,0,1,0,2,0,10681,1.96610804231813,0.823472591161555,0.71,98,1.75592757480951,14,5,1,0,0,0,0,0,1,0,10872,0.71,0.8065972,108,1.93156732891832,2.07301810016711,"113th (2013–2015)",435,201,234,"0","5/1","113 (2013-2015)",100,53,45,2,"88th, 2013-2014","DFL","DFL","DFL",4347,22,4262,67,8698,10791,10564,0,42,89,96,"61.8","11.5",10791,10478,11,30,0,0,46,"0500000US27075",27075,"Lake County, Minnesota",5010,198,3242,207,"2760","150",1768,181,6.2,1.7,5.4,2.6,"1.7","1.0",11.1,3.4,5.6,1.6,2.1,1.1,"0.7","0.5",11.7,3.8,13.6,2.3,5.8,2.1,"4.2","2.1",26.3,4.9,12.3,2.4,9.9,2.7,"10.2","3.2",16.7,4.5,15.3,2.4,15.5,2.9,"15.6","3.1",13.7,4.1,17.5,2.5,20.9,3.6,"21.4","3.3",11.6,3.6,12.5,2,16.5,2.9,"18.7","3.3",5,2,11.6,2.4,16.2,3.6,"18.6","4.2",3.3,2,3.3,1.4,4.9,2,"5.8","2.4",0.3,0.5,2,0.7,2.9,1.1,"3.1","1.2",0.2,0.3,46850,3215,62917,5543,69727,5806,25678,3486,61154,3343,74649,5103,"N","N",35242,3249,30.1,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",27.9,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",33.7,"(X)",0.593814670039089,0,1,0,21320592.23,9123070.81,2921029.04,NA,9080457.25,32170393.66,NA
"153",153,"lake of the woods",2002,39,1,2234,9,3,0,0,0,0,0,1,1,0,3917,3.5741639009446,0.853975535168196,0.31,52,4.17536259136798,7,3,0,1,0,0,0,1,0,0,4043,0.31,0.7172093,51,2.96809300024734,3.104678421337,"107th (2001–2003)",435,213,220,"Independent (2)","4/1","107 (2001-2003)",100,50,49,1,"82nd, 2001-2002","Republican","DFL","Reform",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,5766932.02,1729606.54,5275020.51,6540258.02,NA,NA
"154",154,"lake of the woods",2006,39,1,1961,9,3,0,0,0,0,0,1,1,0,3917,3.5741639009446,0.853975535168196,0.31,52,4.17536259136798,7,3,0,1,0,0,0,1,0,0,4043,0.31,0.7172093,51,2.96809300024734,3.104678421337,"109th (2005–2007)",435,201,233,"Independent (1)","4/1","109 (2005-2007)",100,44,55,1,"84th, 2005-2006","Republican","DFL","Republican",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,9756305.64,2528259.93,6896026.68,7500839.82,NA,NA
"155",155,"lake of the woods",2010,39,1,1907,9,3,0,0,0,0,0,1,1,0,3917,3.5741639009446,0.853975535168196,0.31,52,4.17536259136798,7,3,0,1,0,0,0,1,0,0,4043,0.31,0.7172093,51,2.96809300024734,3.104678421337,"111th (2009–2011)",435,257,178,"0","5/1","111 (2009-2011)",100,57,41,2,"86th, 2009-2010","DFL","DFL","Republican",1636,33,1528,54,3251,4147,3960,15,70,91,11,"65.6","8.1",4147,3767,35,15,27,0,0,"0500000US27077",27077,"Lake of the Woods County, Minnesota",1784,141,1333,134,"1086","111",451,93,4.9,2.7,4.8,3.3,"3.4","3.2",7.3,4.1,5.6,2.6,3.6,2.7,"3.0","2.7",14.6,7.6,11.2,3.6,4.7,2.3,"3.3","2.6",27.1,10.8,15.4,4.2,19.2,6.2,"19.7","7.0",11.1,7.4,18.8,5.3,17.2,5.8,"14.6","6.1",19.5,8.6,21.6,4.8,24.7,6,"27.4","6.9",10.4,7.4,12.7,4.6,14.1,5.8,"15.9","7.5",7.8,6.3,6.1,3.1,6.7,3.8,"8.2","4.7",2.2,3.7,0.8,0.9,1.1,1.2,"1.3","1.5",0,4.3,3,2.3,4,3.1,"3.0","2.7",0,4.3,46080,5140,51161,12906,58750,9813,26406,9615,61913,9896,69798,13039,"N","N",34682,5671,34.4,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",31.7,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",32.8,"(X)",0.586588741925561,0,0,0,33656871.12,17574734.7,1710510.67,5876612.5,6355422.82,NA,NA
"156",156,"lake of the woods",2014,39,1,1930,9,3,0,0,0,0,0,1,1,0,3917,3.5741639009446,0.853975535168196,0.31,52,4.17536259136798,7,3,0,1,0,0,0,1,0,0,4043,0.31,0.7172093,51,2.96809300024734,3.104678421337,"113th (2013–2015)",435,201,234,"0","5/1","113 (2013-2015)",100,53,45,2,"88th, 2013-2014","DFL","DFL","DFL",1621,23,1495,22,3161,3976,3832,0,55,45,44,"57.8","10.2",3976,3767,35,15,27,0,0,"0500000US27077",27077,"Lake of the Woods County, Minnesota",1700,131,1113,121,"901","104",587,101,4.4,3,0.7,1.2,"0.0","1.9",11.4,8,4.7,2.1,0.6,0.8,"0.3","0.5",12.4,5.7,13.1,4.8,9.3,4.2,"5.7","3.0",21.5,9.3,11.6,3.7,13.2,5.2,"15.0","6.2",14.8,7.8,20.8,5.8,19.8,6.3,"17.1","6.7",19.4,8.7,21.2,4.7,23.5,6.5,"23.3","7.3",13.6,6.9,15.9,4.6,21.5,7,"25.2","8.5",4.6,3.6,7.1,3,9.6,4.3,"11.1","5.0",2.2,3,1.1,1.2,1.6,1.8,"2.0","2.2",0,2.9,0.2,0.4,0.3,0.6,"0.3","0.7",0,2.9,45119,5777,53750,11173,60917,11923,28042,6197,53141,3760,62811,5338,"N","N",33178,4344,37.5,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",38.1,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",27.4,"(X)",0.61056627649478,0,1,0,21320592.23,9123070.81,2921029.04,NA,9080457.25,32170393.66,NA
"157",157,"le sueur",2002,40,1,12022,23,12,2,0,0,2,2,5,3,0,27748,1.76589303733602,0.806135236746036,0.81,138,0.743354450180929,24,8,2,0,0,2,2,7,4,0,27730,0.81,0.7007657,158,1.76703930760909,0.695233130390697,"107th (2001–2003)",435,213,220,"Independent (2)","4/1","107 (2001-2003)",100,50,49,1,"82nd, 2001-2002","Republican","DFL","Reform",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,5766932.02,1729606.54,5275020.51,6540258.02,NA,NA
"158",158,"le sueur",2006,40,1,11565,23,12,2,0,0,2,2,5,3,0,27748,1.76589303733602,0.806135236746036,0.81,138,0.743354450180929,24,8,2,0,0,2,2,7,4,0,27730,0.81,0.7007657,158,1.76703930760909,0.695233130390697,"109th (2005–2007)",435,201,233,"Independent (1)","4/1","109 (2005-2007)",100,44,55,1,"84th, 2005-2006","Republican","DFL","Republican",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,9756305.64,2528259.93,6896026.68,7500839.82,NA,NA
"159",159,"le sueur",2010,40,1,11679,23,12,2,0,0,2,2,5,3,0,27748,1.76589303733602,0.806135236746036,0.81,138,0.743354450180929,24,8,2,0,0,2,2,7,4,0,27730,0.81,0.7007657,158,1.76703930760909,0.695233130390697,"111th (2009–2011)",435,257,178,"0","5/1","111 (2009-2011)",100,57,41,2,"86th, 2009-2010","DFL","DFL","Republican",10112,114,9904,118,20248,27719,26962,26,69,263,399,"59.2","8.9",27719,26493,162,106,145,0,478,"0500000US27079",27079,"Le Sueur County, Minnesota",10758,210,7580,203,"6308","213",3178,218,3.9,0.9,2.2,0.8,"1.0","0.5",9.5,2,4.7,1,2.2,1,"1.0","0.7",11.5,2.4,8,0.9,5.8,1,"4.2","0.9",15.7,2.4,10.5,1.4,7.9,1.4,"5.3","1.1",17.7,3.7,15.7,1.8,12.3,1.7,"11.3","1.8",22.3,4.1,23.7,1.6,26.8,2,"27.6","2.1",14.5,2.8,16.6,1.4,20.6,1.8,"23.3","2.2",5.8,1.8,12.6,1.3,16.9,1.9,"19.9","2.3",2.1,0.7,2.6,0.6,3.3,0.8,"3.9","0.9",0.2,0.2,1.7,0.5,2.1,0.6,"2.3","0.7",0.7,0.5,57477,2183,68053,1809,74430,2388,32087,2590,66020,1737,76333,2387,"N","N",38034,2221,23.6,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",22.3,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",24.9,"(X)",0.576797708415646,0,0,0,33656871.12,17574734.7,1710510.67,5876612.5,6355422.82,NA,NA
"160",160,"le sueur",2014,40,1,9788,23,12,2,0,0,2,2,5,3,0,27748,1.76589303733602,0.806135236746036,0.81,138,0.743354450180929,24,8,2,0,0,2,2,7,4,0,27730,0.81,0.7007657,158,1.76703930760909,0.695233130390697,"113th (2013–2015)",435,201,234,"0","5/1","113 (2013-2015)",100,53,45,2,"88th, 2013-2014","DFL","DFL","DFL",10280,88,9988,97,20453,27717,26941,5,95,227,449,"59.3","8.6",27717,26493,162,106,145,0,478,"0500000US27079",27079,"Le Sueur County, Minnesota",11007,155,7699,190,"6399","177",3308,174,3.5,0.7,1.4,0.5,"0.6","0.3",9.7,2.2,5.1,0.8,1.9,0.7,"0.8","0.5",13.3,2.4,8.4,1,6,1.4,"3.0","0.7",17.4,2.8,10.3,1.2,7.7,1.4,"5.7","1.1",17.2,2.9,14.3,1.6,13.1,1.6,"12.4","1.5",15.6,2.9,21.6,1.7,23,2,"23.4","2.0",15.9,3,15.4,1.2,18.8,1.6,"21.2","1.7",6.6,1.5,14.8,1.2,19.2,1.7,"22.6","1.9",3.5,1.1,3.7,0.7,5.1,1,"6.0","1.2",0.5,0.3,2.8,0.6,3.6,0.8,"4.3","0.9",0.3,0.3,60296,1765,71023,3091,80331,2330,30693,1681,70723,1814,82303,2333,"90617","2350",39246,2896,22.6,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",23,"(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)",20.6,"(X)",0.478560602356623,0,1,0,21320592.23,9123070.81,2921029.04,NA,9080457.25,32170393.66,NA
"161",161,"lincoln",2002,41,1,3114,15,2,0,0,0,0,1,0,2,0,5804,3.44589937973811,0.807453416149068,0.73,78,3.74856973213862,13,3,0,0,0,0,1,0,2,0,5892,0.73,0.6769164,71,3.22471147318398,2.80704106186716,"107th (2001–2003)",435,213,220,"Independent (2)","4/1","107 (2001-2003)",100,50,49,1,"82nd, 2001-2002","Republican","DFL","Reform",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,5766932.02,1729606.54,5275020.51,6540258.02,NA,NA
